discount_id,Product_Name,Price,Original_Price,Discount%
0,"CHUWI MiniBook X Laptop Tablet 2 In 1 Intel N150 CPU 10.51"" FHD IPS Screen 12GB LPDDR5 512G SSD Windows 11 Notebook 1200*1920 ",474.69,0.0,0.0
1,FIREBAT A14 Laptop Intel N5095 14.1 Inch 16GB LPDDR4 RAM 512GB 1TB SSD Lightweight Business Computer Notebook FHD Fingerprint ,333.76,0.0,0.0
2,Firebat A16 Laptop 16 Inch CPU Intel N5095 16GB RAM SSD 512GB 1TB BT4.2 WiFi5 LPDDR4 Lightweight Business Computer Notebook ,350.55,1125.47,68.0
3,11.6 inch Portable monitor 1366X768 lcd display TFT gaming monitor for pc Raspberry Pi Laptop PS4 Xbox360 switch HDMI-Compatible ,57.59,146.11,60.0
4,BYONE 11.6 Inch Mini Laptop Intel Celeron N4000 8GB RAM 128GB 256GB SSD Wifi Office Study Pink Portable Ultraslim Pocket Laptops ,196.52,337.89,41.0
5,Woman Laptop Windows 10 Office Education Gaming Notebook Pink 15.6“10th Gen Intel Celeron J4125 12G RAM 1T Dual WiFi Narrow Side ,292.38,0.0,0.0
6,Gaming laptops  Intel Core i7-6500U 32GB Ram 2TB SSD Windows 11 Notebooks Backlit Wifi Computer PC Gaming Laptop Computer ,504.38,0.0,0.0
7,ZSUS 2160*1440  14-inch 2K Portable Monitor 60HZ For Laptop XBox PS4 / 5 Switch TV Box Cell Phone PC Extension  Mobile ,97.94,236.99,58.0
8,BYONE 14.1 Inch Laptop Intel N4000 8GB RAM 256GB 512GB SSD Windows 11 Notebook 1366*768 HD LCD Wifi HDMI USB laptop PC ,225.46,426.04,47.0
9,BYONE 11.6 Inch Mini Laptop Intel N4000 Cheap laptop 8GB RAM 256GB SSD Student Office Small Portable Netbook With WIFI Bluetooth ,204.73,305.13,32.0
10,YEPO Gaming laptops  Intel Core i7-6500U 32GB Ram 2TB SSD Windows 11 Notebooks Backlit Wifi Computer PC Gaming Laptop Computer ,384.38,0.0,0.0
11,New Case For ASUS ZenBook 14 UX425 UM425 UX425J UX425JA U4700J Laptop LCD Back Cover Top Rear Lid Front Bezel Palmrest Hinges ,24.04,35.12,31.0
12,"CHUWI MiniBook X Laptop Tablet 2 In 1 Intel N150 CPU 10.51"" FHD IPS Screen 12GB LPDDR5 512G SSD Windows 11 Notebook 1200*1920 ",455.99,0.0,52.0
13,FIREBAT A14 Laptop Intel N5095 14.1 Inch 16GB LPDDR4 RAM 512GB 1TB SSD Lightweight Business Computer Notebook FHD Fingerprint ,392.38,0.0,52.0
14,GPD 2025 WIN 4 32GB Memory RAM 1TB 2TB Hard Disk AMD 8840U HX370 Processor Handheld Gaming Portable Laptop Mini PC Touch Screen ,1308.68,0.0,0.0
15,High Speed Flash Card 1TB Original Storage Card 128GB 256GB Micro TF/SD 512GB Large Capacity Memory Card for Laptops/PC/MAC ,1.87,12.95,85.0
16,High-end Lenovo Laptop ThinkPad P15v Gen 3 2022 15.6 Inch FHD i7-12700H i7-11800H 10750H 64GB Ram 4TB SSD Nvidia Pro Graphics ,5704.38,5713.24,1.0
17,"14"" Business Laptop Intel N3700 16GB RAM384GB Storage Ultra thin body Gaming laptops Windows 11 pc gaming  256GB/512GB/1TBsilver ",367.68,0.0,0.0
18,Lenovo Fashion Business ThinkBook Plus Laptop With i7-1160G7 8GB 512GB SSD Dual 13.3 Inch Led Backlight +10.8 Inch E-ink Screen ,5133.06,5141.92,1.0
19,New Laptop Screen for Macbook A1706 A1708 A1989 A2159 A2289 A2251 A1932 A2179 A1502 A1466 A2337 A2338 A1466 LCD Display Assembly ,204.21,213.81,4.0
20,180°Rotating 16.0'' IPS Screen 32G 128G-2TB Laptop N95 Windows 11 Notebook  Business Office Slim Touch ID RGB 3480*2160 4Kscreen ,380.99,0.0,0.0
21,Adreamer Laptop 13.3 Inch Portable Laptops Low Price With Intel CPU 2.5K FHD IPS 8GB 1T SSD  2.5K FHD Display Notebook ,273.47,627.39,56.0
22,Genmachine Laptop AMD Ryzen™ 5 4600H 15.6 Inch LPDDR4 RAM M.2 NVME SSD Business Gaming Laptops Computer Notebook Radeon Graphics ,670.38,0.0,0.0
23,Portable SSD 1TB High-speed Mobile Solid State Drive 500GB External Storage Decives Type-C USB 3.1 Interface for Laptop/PC/ Mac ,12.58,0.0,0.0
24,FIREBAT A14 Laptop Intel N5095 14.1 Inch 16GB LPDDR4 RAM 512GB 1TB SSD Lightweight Business Computer Notebook FHD Fingerprint ,333.76,0.0,0.0
25,GPD DUO 13 Inch Dual Touch Screen 32GB 64GB RAM Memory 1TB 2TB Hard Disk SSD CPU AMD HX 370 Processor Portable Business Laptop ,2910.99,0.0,0.0
26,Adreamer LeoBook 13 Laptop 13.3-inch Intel Celeron N4020 8GB RAM 1T SSD Windows 10 Computer Office School Notebook PC ,291.81,501.11,41.0
27,New External Hard Drive 1TB Portable SSD HARD DISK 2TB High-speed External Solid State Drive Mobile Hard Drive for Laptop Mac PC ,12.58,0.0,0.0
28,YSJMNPC New AMD Ryzen™ 3 3250U Laptop 16 Inch IPS Screen Gaming Laptop 2*DDR4 MAX 64GB 2*SSD Windows11 Fingerprint Notebook WIFI ,407.61,694.13,41.0
29,DDR4 32GB M.2 SSD 512GB 1TB Ultrabook Metal Computer with 2.4G/5.0G Bluetooth Ryzen R7 4700U windows 10 Pro gaming laptop ,652.99,0.0,0.0
30,Best High-end HUAWEI Laptop PC MateBook X Pro 2021 New With 13.9 Inch 3000x2000 CNC Touch Screen i7-1165G7 Share Hidden Camera ,3471.82,3480.68,1.0
31,2.5K OLED 10.5″ Portable Monitor Touchscreen 2560x1600 High-end Portable Screen 100% DCI-P3 1MS for Laptop Phone PS4 Xbox Switch ,337.68,0.0,0.0
32,World's First Foldable PC Lenovo ThinkPad X1 Fold Laptop+Tablet 13.3 Inch 2048x1536 OLED Touch i5-L16G7 Type-C WiFi 6 5G WiFi ,8615.75,8624.61,1.0
33,GPD WIN Max 2 2025 10.1 Inch AMD AI 9 HX 370/8840U Windows11 Gaming PC Laptop Notebook Portable Game Computer 64GB RAM 2TB Nvme ,2058.43,4134.58,50.0
34,SZYIYUN Mini Portable Laptop 10.1 inch Intel N4120 Quad Core 8GB RAM 1TB SSD 2.6GHz Netbook WIFI Windwos 10 11 Notebook Computer ,469.68,0.0,0.0
35,Nuroum V11 High Quality 1080p 60fps Full Hd Plug And Play Computer Usb Web Camera Mini Webcam 2K For Pc Laptop With Microphone ,18.88,29.96,36.0
36,Xiaomi REDMI Book Pro 14 2025 Laptop Ultra 7 255H/Ultra 5 225H Intel Arc Graphics 32GB LPDDR5X 1T SSD 14-inch 120Hz 2.8K Screen ,1546.38,0.0,0.0
37,15.6 Inch Laptop Intel Core i9-12900H/i9-10885H Windows 11 Por 2*DDR4 2*M.2 SSD Ultrabook Computer Fingerprint Unlock WIFI5 BT ,574.2,971.77,40.0
38,Latest High-end Lenovo Laptop ThinkPad neo 14 i7-12700H i5-12500H 16GB LPDDR5 RTX2050 4G IRIS Xe Graphics 14Inch 2.2K 16:10 FHD ,3599.5,3608.36,1.0
39,M.2 990 pro 4TB 2TB 1TB 2280  Hard drive disk NVME 2.5 inch ssd TLC 5600MB/s internal Solid State Drives for laptop and desktop ,18.38,0.0,0.0
40,"Intel® Processor N95 PC+PAD 14"" IPS Touch Scree Windows 11 Ram 16GB Rom 128G-2TB SSD Computer Wifi BT Gaming Laptop ",486.46,900.58,45.0
41,Lenovo Laptop YOGA Pro14s 14.5-Inch 3K 120Hz Touch Screen Intel I5-13500H/I9-13900H16G LPDDR5 512G/1TB SSD RTX4060 Notebook PC ,1504.68,0.0,0.0
42,Win11 N95 Laptop brand new 10.5inch touchscreen RAM 16GB 32GB SSD 1TB 2TB handheld game console personal home laptops ,503.89,884.04,43.0
43,M.2 990 pro 4TB 2TB 1TB 2280  Hard drive disk NVME 2.5 inch ssd TLC 5600MB/s internal Solid State Drives for laptop and desktop ,24.99,0.0,0.0
44,Xiaomi Book Pro 16 Touchscreen Laptop 16 Inch 4K OLED Screen Notebook i5-1240P/ i7-1260P 16GB 512GB NVIDIA RTX 2050 Notebook PC ,1549.99,0.0,0.0
45,GPD WIN Mini AMD 7840U 16GB 32GB 64GB RAM 512GB 1TB 2TB SSD 7-inch WIN11 System Pocket Mini PC Laptop Game Player Console ,1828.99,0.0,0.0
46,CRELANDER X16 Double Screen Laptops 16 Inch + 14 Inch Touch Screen Intel 10th Windows 11 Portable PC Notebook Computer ,1203.43,1683.75,28.0
